delta_1_volume,delta_2_volume,delta_3_volume,delta_4_volume,delta_5_volume,is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_avg,starttime,volume
"5","19","7","-8","12","1","0","0","0","0","0","8","13","32","39","31","43","27","2016-09-19 08:00:00","46"
"5","19","7","-8","12","0","1","0","0","0","0","8","13","32","39","31","43","27","2016-09-19 08:20:00","56"
"5","19","7","-8","12","0","0","1","0","0","0","8","13","32","39","31","43","27","2016-09-19 08:40:00","41"
"5","19","7","-8","12","0","0","0","1","0","0","8","13","32","39","31","43","27","2016-09-19 09:00:00","50"
"5","19","7","-8","12","0","0","0","0","1","0","8","13","32","39","31","43","27","2016-09-19 09:20:00","49"
"5","19","7","-8","12","0","0","0","0","0","1","8","13","32","39","31","43","27","2016-09-19 09:40:00","44"
"9","-14","-1","4","9","1","0","0","0","0","0","48","57","43","42","46","55","48","2016-09-19 17:00:00","36"
"9","-14","-1","4","9","0","1","0","0","0","0","48","57","43","42","46","55","48","2016-09-19 17:20:00","34"
"9","-14","-1","4","9","0","0","1","0","0","0","48","57","43","42","46","55","48","2016-09-19 17:40:00","24"
"9","-14","-1","4","9","0","0","0","1","0","0","48","57","43","42","46","55","48","2016-09-19 18:00:00","29"
"9","-14","-1","4","9","0","0","0","0","1","0","48","57","43","42","46","55","48","2016-09-19 18:20:00","27"
"9","-14","-1","4","9","0","0","0","0","0","1","48","57","43","42","46","55","48","2016-09-19 18:40:00","18"
"7","9","9","-8","1","1","0","0","0","0","0","13","20","29","38","30","31","26","2016-09-20 08:00:00","53"
"7","9","9","-8","1","0","1","0","0","0","0","13","20","29","38","30","31","26","2016-09-20 08:20:00","50"
"7","9","9","-8","1","0","0","1","0","0","0","13","20","29","38","30","31","26","2016-09-20 08:40:00","45"
"7","9","9","-8","1","0","0","0","1","0","0","13","20","29","38","30","31","26","2016-09-20 09:00:00","51"
"7","9","9","-8","1","0","0","0","0","1","0","13","20","29","38","30","31","26","2016-09-20 09:20:00","68"
"7","9","9","-8","1","0","0","0","0","0","1","13","20","29","38","30","31","26","2016-09-20 09:40:00","59"
"-7","9","-25","9","-9","1","0","0","0","0","0","71","64","73","48","57","48","60","2016-09-20 17:00:00","38"
"-7","9","-25","9","-9","0","1","0","0","0","0","71","64","73","48","57","48","60","2016-09-20 17:20:00","42"
"-7","9","-25","9","-9","0","0","1","0","0","0","71","64","73","48","57","48","60","2016-09-20 17:40:00","38"
"-7","9","-25","9","-9","0","0","0","1","0","0","71","64","73","48","57","48","60","2016-09-20 18:00:00","26"
"-7","9","-25","9","-9","0","0","0","0","1","0","71","64","73","48","57","48","60","2016-09-20 18:20:00","29"
"-7","9","-25","9","-9","0","0","0","0","0","1","71","64","73","48","57","48","60","2016-09-20 18:40:00","20"
"5","34","3","6","11","1","0","0","0","0","0","36","41","75","78","84","95","68","2016-09-21 08:00:00","122"
"5","34","3","6","11","0","1","0","0","0","0","36","41","75","78","84","95","68","2016-09-21 08:20:00","126"
"5","34","3","6","11","0","0","1","0","0","0","36","41","75","78","84","95","68","2016-09-21 08:40:00","77"
"5","34","3","6","11","0","0","0","1","0","0","36","41","75","78","84","95","68","2016-09-21 09:00:00","49"
"5","34","3","6","11","0","0","0","0","1","0","36","41","75","78","84","95","68","2016-09-21 09:20:00","55"
"5","34","3","6","11","0","0","0","0","0","1","36","41","75","78","84","95","68","2016-09-21 09:40:00","53"
"-2","3","-3","-1","1","1","0","0","0","0","0","48","46","49","46","45","46","46","2016-09-21 17:00:00","47"
"-2","3","-3","-1","1","0","1","0","0","0","0","48","46","49","46","45","46","46","2016-09-21 17:20:00","35"
"-2","3","-3","-1","1","0","0","1","0","0","0","48","46","49","46","45","46","46","2016-09-21 17:40:00","20"
"-2","3","-3","-1","1","0","0","0","1","0","0","48","46","49","46","45","46","46","2016-09-21 18:00:00","20"
"-2","3","-3","-1","1","0","0","0","0","1","0","48","46","49","46","45","46","46","2016-09-21 18:20:00","20"
"-2","3","-3","-1","1","0","0","0","0","0","1","48","46","49","46","45","46","46","2016-09-21 18:40:00","24"
"4","26","-8","12","-6","1","0","0","0","0","0","6","10","36","28","40","34","25","2016-09-22 08:00:00","50"
"4","26","-8","12","-6","0","1","0","0","0","0","6","10","36","28","40","34","25","2016-09-22 08:20:00","58"
"4","26","-8","12","-6","0","0","1","0","0","0","6","10","36","28","40","34","25","2016-09-22 08:40:00","51"
"4","26","-8","12","-6","0","0","0","1","0","0","6","10","36","28","40","34","25","2016-09-22 09:00:00","43"
"4","26","-8","12","-6","0","0","0","0","1","0","6","10","36","28","40","34","25","2016-09-22 09:20:00","52"
"4","26","-8","12","-6","0","0","0","0","0","1","6","10","36","28","40","34","25","2016-09-22 09:40:00","59"
"-13","9","1","-6","-10","1","0","0","0","0","0","61","48","57","58","52","42","53","2016-09-22 17:00:00","29"
"-13","9","1","-6","-10","0","1","0","0","0","0","61","48","57","58","52","42","53","2016-09-22 17:20:00","36"
"-13","9","1","-6","-10","0","0","1","0","0","0","61","48","57","58","52","42","53","2016-09-22 17:40:00","33"
"-13","9","1","-6","-10","0","0","0","1","0","0","61","48","57","58","52","42","53","2016-09-22 18:00:00","26"
"-13","9","1","-6","-10","0","0","0","0","1","0","61","48","57","58","52","42","53","2016-09-22 18:20:00","21"
"-13","9","1","-6","-10","0","0","0","0","0","1","61","48","57","58","52","42","53","2016-09-22 18:40:00","24"
"5","15","-4","13","1","1","0","0","0","0","0","12","17","32","28","41","42","28","2016-09-23 08:00:00","49"
"5","15","-4","13","1","0","1","0","0","0","0","12","17","32","28","41","42","28","2016-09-23 08:20:00","68"
"5","15","-4","13","1","0","0","1","0","0","0","12","17","32","28","41","42","28","2016-09-23 08:40:00","50"
"5","15","-4","13","1","0","0","0","1","0","0","12","17","32","28","41","42","28","2016-09-23 09:00:00","41"
"5","15","-4","13","1","0","0","0","0","1","0","12","17","32","28","41","42","28","2016-09-23 09:20:00","52"
"5","15","-4","13","1","0","0","0","0","0","1","12","17","32","28","41","42","28","2016-09-23 09:40:00","44"
"19","12","-2","10","-42","1","0","0","0","0","0","47","66","78","76","86","44","66","2016-09-23 17:00:00","45"
"19","12","-2","10","-42","0","1","0","0","0","0","47","66","78","76","86","44","66","2016-09-23 17:20:00","38"
"19","12","-2","10","-42","0","0","1","0","0","0","47","66","78","76","86","44","66","2016-09-23 17:40:00","46"
"19","12","-2","10","-42","0","0","0","1","0","0","47","66","78","76","86","44","66","2016-09-23 18:00:00","40"
"19","12","-2","10","-42","0","0","0","0","1","0","47","66","78","76","86","44","66","2016-09-23 18:20:00","45"
"19","12","-2","10","-42","0","0","0","0","0","1","47","66","78","76","86","44","66","2016-09-23 18:40:00","32"
"11","5","4","5","2","1","0","0","0","0","0","8","19","24","28","33","35","24","2016-09-24 08:00:00","43"
"11","5","4","5","2","0","1","0","0","0","0","8","19","24","28","33","35","24","2016-09-24 08:20:00","64"
"11","5","4","5","2","0","0","1","0","0","0","8","19","24","28","33","35","24","2016-09-24 08:40:00","71"
"11","5","4","5","2","0","0","0","1","0","0","8","19","24","28","33","35","24","2016-09-24 09:00:00","52"
"11","5","4","5","2","0","0","0","0","1","0","8","19","24","28","33","35","24","2016-09-24 09:20:00","68"
"11","5","4","5","2","0","0","0","0","0","1","8","19","24","28","33","35","24","2016-09-24 09:40:00","66"
"8","3","15","-22","-11","1","0","0","0","0","0","55","63","66","81","59","48","62","2016-09-24 17:00:00","73"
"8","3","15","-22","-11","0","1","0","0","0","0","55","63","66","81","59","48","62","2016-09-24 17:20:00","55"
"8","3","15","-22","-11","0","0","1","0","0","0","55","63","66","81","59","48","62","2016-09-24 17:40:00","32"
"8","3","15","-22","-11","0","0","0","1","0","0","55","63","66","81","59","48","62","2016-09-24 18:00:00","42"
"8","3","15","-22","-11","0","0","0","0","1","0","55","63","66","81","59","48","62","2016-09-24 18:20:00","35"
"8","3","15","-22","-11","0","0","0","0","0","1","55","63","66","81","59","48","62","2016-09-24 18:40:00","54"
"2","14","-6","2","11","1","0","0","0","0","0","10","12","26","20","22","33","20","2016-09-25 08:00:00","35"
"2","14","-6","2","11","0","1","0","0","0","0","10","12","26","20","22","33","20","2016-09-25 08:20:00","40"
"2","14","-6","2","11","0","0","1","0","0","0","10","12","26","20","22","33","20","2016-09-25 08:40:00","50"
"2","14","-6","2","11","0","0","0","1","0","0","10","12","26","20","22","33","20","2016-09-25 09:00:00","41"
"2","14","-6","2","11","0","0","0","0","1","0","10","12","26","20","22","33","20","2016-09-25 09:20:00","42"
"2","14","-6","2","11","0","0","0","0","0","1","10","12","26","20","22","33","20","2016-09-25 09:40:00","49"
"-4","-9","18","-7","10","1","0","0","0","0","0","65","61","52","70","63","73","64","2016-09-25 17:00:00","63"
"-4","-9","18","-7","10","0","1","0","0","0","0","65","61","52","70","63","73","64","2016-09-25 17:20:00","49"
"-4","-9","18","-7","10","0","0","1","0","0","0","65","61","52","70","63","73","64","2016-09-25 17:40:00","42"
"-4","-9","18","-7","10","0","0","0","1","0","0","65","61","52","70","63","73","64","2016-09-25 18:00:00","56"
"-4","-9","18","-7","10","0","0","0","0","1","0","65","61","52","70","63","73","64","2016-09-25 18:20:00","38"
"-4","-9","18","-7","10","0","0","0","0","0","1","65","61","52","70","63","73","64","2016-09-25 18:40:00","31"
"10","16","5","-5","7","1","0","0","0","0","0","13","23","39","44","39","46","34","2016-09-26 08:00:00","49"
"10","16","5","-5","7","0","1","0","0","0","0","13","23","39","44","39","46","34","2016-09-26 08:20:00","52"
"10","16","5","-5","7","0","0","1","0","0","0","13","23","39","44","39","46","34","2016-09-26 08:40:00","45"
"10","16","5","-5","7","0","0","0","1","0","0","13","23","39","44","39","46","34","2016-09-26 09:00:00","48"
"10","16","5","-5","7","0","0","0","0","1","0","13","23","39","44","39","46","34","2016-09-26 09:20:00","52"
"10","16","5","-5","7","0","0","0","0","0","1","13","23","39","44","39","46","34","2016-09-26 09:40:00","51"
"18","-8","1","12","-10","1","0","0","0","0","0","33","51","43","44","56","46","45","2016-09-26 17:00:00","47"
"18","-8","1","12","-10","0","1","0","0","0","0","33","51","43","44","56","46","45","2016-09-26 17:20:00","42"
"18","-8","1","12","-10","0","0","1","0","0","0","33","51","43","44","56","46","45","2016-09-26 17:40:00","30"
"18","-8","1","12","-10","0","0","0","1","0","0","33","51","43","44","56","46","45","2016-09-26 18:00:00","33"
"18","-8","1","12","-10","0","0","0","0","1","0","33","51","43","44","56","46","45","2016-09-26 18:20:00","22"
"18","-8","1","12","-10","0","0","0","0","0","1","33","51","43","44","56","46","45","2016-09-26 18:40:00","29"
"8","15","21","-6","-9","1","0","0","0","0","0","12","20","35","56","50","41","35","2016-09-27 08:00:00","60"
"8","15","21","-6","-9","0","1","0","0","0","0","12","20","35","56","50","41","35","2016-09-27 08:20:00","45"
"8","15","21","-6","-9","0","0","1","0","0","0","12","20","35","56","50","41","35","2016-09-27 08:40:00","64"
"8","15","21","-6","-9","0","0","0","1","0","0","12","20","35","56","50","41","35","2016-09-27 09:00:00","58"
"8","15","21","-6","-9","0","0","0","0","1","0","12","20","35","56","50","41","35","2016-09-27 09:20:00","65"
"8","15","21","-6","-9","0","0","0","0","0","1","12","20","35","56","50","41","35","2016-09-27 09:40:00","45"
"8","-3","14","-5","-5","1","0","0","0","0","0","39","47","44","58","53","48","48","2016-09-27 17:00:00","52"
"8","-3","14","-5","-5","0","1","0","0","0","0","39","47","44","58","53","48","48","2016-09-27 17:20:00","77"
"8","-3","14","-5","-5","0","0","1","0","0","0","39","47","44","58","53","48","48","2016-09-27 17:40:00","45"
"8","-3","14","-5","-5","0","0","0","1","0","0","39","47","44","58","53","48","48","2016-09-27 18:00:00","30"
"8","-3","14","-5","-5","0","0","0","0","1","0","39","47","44","58","53","48","48","2016-09-27 18:20:00","18"
"8","-3","14","-5","-5","0","0","0","0","0","1","39","47","44","58","53","48","48","2016-09-27 18:40:00","12"
"19","1","41","-17","30","1","0","0","0","0","0","30","49","50","91","74","104","66","2016-09-28 08:00:00","128"
"19","1","41","-17","30","0","1","0","0","0","0","30","49","50","91","74","104","66","2016-09-28 08:20:00","137"
"19","1","41","-17","30","0","0","1","0","0","0","30","49","50","91","74","104","66","2016-09-28 08:40:00","104"
"19","1","41","-17","30","0","0","0","1","0","0","30","49","50","91","74","104","66","2016-09-28 09:00:00","111"
"19","1","41","-17","30","0","0","0","0","1","0","30","49","50","91","74","104","66","2016-09-28 09:20:00","121"
"19","1","41","-17","30","0","0","0","0","0","1","30","49","50","91","74","104","66","2016-09-28 09:40:00","136"
"6","-9","17","-8","-52","1","0","0","0","0","0","91","97","88","105","97","45","87","2016-09-28 17:00:00","31"
"6","-9","17","-8","-52","0","1","0","0","0","0","91","97","88","105","97","45","87","2016-09-28 17:20:00","37"
"6","-9","17","-8","-52","0","0","1","0","0","0","91","97","88","105","97","45","87","2016-09-28 17:40:00","31"
"6","-9","17","-8","-52","0","0","0","1","0","0","91","97","88","105","97","45","87","2016-09-28 18:00:00","26"
"6","-9","17","-8","-52","0","0","0","0","1","0","91","97","88","105","97","45","87","2016-09-28 18:20:00","24"
"6","-9","17","-8","-52","0","0","0","0","0","1","91","97","88","105","97","45","87","2016-09-28 18:40:00","18"
"5","9","7","5","0","1","0","0","0","0","0","4","9","18","25","30","30","19","2016-09-29 08:00:00","41"
"5","9","7","5","0","0","1","0","0","0","0","4","9","18","25","30","30","19","2016-09-29 08:20:00","48"
"5","9","7","5","0","0","0","1","0","0","0","4","9","18","25","30","30","19","2016-09-29 08:40:00","50"
"5","9","7","5","0","0","0","0","1","0","0","4","9","18","25","30","30","19","2016-09-29 09:00:00","47"
"5","9","7","5","0","0","0","0","0","1","0","4","9","18","25","30","30","19","2016-09-29 09:20:00","40"
"5","9","7","5","0","0","0","0","0","0","1","4","9","18","25","30","30","19","2016-09-29 09:40:00","48"
"12","-12","7","-10","-3","1","0","0","0","0","0","53","65","53","60","50","47","54","2016-09-29 17:00:00","30"
"12","-12","7","-10","-3","0","1","0","0","0","0","53","65","53","60","50","47","54","2016-09-29 17:20:00","30"
"12","-12","7","-10","-3","0","0","1","0","0","0","53","65","53","60","50","47","54","2016-09-29 17:40:00","30"
"12","-12","7","-10","-3","0","0","0","1","0","0","53","65","53","60","50","47","54","2016-09-29 18:00:00","22"
"12","-12","7","-10","-3","0","0","0","0","1","0","53","65","53","60","50","47","54","2016-09-29 18:20:00","26"
"12","-12","7","-10","-3","0","0","0","0","0","1","53","65","53","60","50","47","54","2016-09-29 18:40:00","25"
"7","7","5","2","13","1","0","0","0","0","0","10","17","24","29","31","44","25","2016-09-30 08:00:00","46"
"7","7","5","2","13","0","1","0","0","0","0","10","17","24","29","31","44","25","2016-09-30 08:20:00","48"
"7","7","5","2","13","0","0","1","0","0","0","10","17","24","29","31","44","25","2016-09-30 08:40:00","47"
"7","7","5","2","13","0","0","0","1","0","0","10","17","24","29","31","44","25","2016-09-30 09:00:00","60"
"7","7","5","2","13","0","0","0","0","1","0","10","17","24","29","31","44","25","2016-09-30 09:20:00","61"
"7","7","5","2","13","0","0","0","0","0","1","10","17","24","29","31","44","25","2016-09-30 09:40:00","63"
"5","44","6","2","-15","1","0","0","0","0","0","75","80","124","130","132","117","109","2016-09-30 17:00:00","87"
"5","44","6","2","-15","0","1","0","0","0","0","75","80","124","130","132","117","109","2016-09-30 17:20:00","98"
"5","44","6","2","-15","0","0","1","0","0","0","75","80","124","130","132","117","109","2016-09-30 17:40:00","133"
"5","44","6","2","-15","0","0","0","1","0","0","75","80","124","130","132","117","109","2016-09-30 18:00:00","137"
"5","44","6","2","-15","0","0","0","0","1","0","75","80","124","130","132","117","109","2016-09-30 18:20:00","172"
"5","44","6","2","-15","0","0","0","0","0","1","75","80","124","130","132","117","109","2016-09-30 18:40:00","156"
"44","18","-8","-23","-11","1","0","0","0","0","0","213","257","275","267","244","233","248","2016-10-01 08:00:00","217"
"44","18","-8","-23","-11","0","1","0","0","0","0","213","257","275","267","244","233","248","2016-10-01 08:20:00","210"
"44","18","-8","-23","-11","0","0","1","0","0","0","213","257","275","267","244","233","248","2016-10-01 08:40:00","198"
"44","18","-8","-23","-11","0","0","0","1","0","0","213","257","275","267","244","233","248","2016-10-01 09:00:00","251"
"44","18","-8","-23","-11","0","0","0","0","1","0","213","257","275","267","244","233","248","2016-10-01 09:20:00","249"
"44","18","-8","-23","-11","0","0","0","0","0","1","213","257","275","267","244","233","248","2016-10-01 09:40:00","242"
"-20","-4","9","20","-46","1","0","0","0","0","0","203","183","179","188","208","162","187","2016-10-01 17:00:00","161"
"-20","-4","9","20","-46","0","1","0","0","0","0","203","183","179","188","208","162","187","2016-10-01 17:20:00","134"
"-20","-4","9","20","-46","0","0","1","0","0","0","203","183","179","188","208","162","187","2016-10-01 17:40:00","97"
"-20","-4","9","20","-46","0","0","0","1","0","0","203","183","179","188","208","162","187","2016-10-01 18:00:00","99"
"-20","-4","9","20","-46","0","0","0","0","1","0","203","183","179","188","208","162","187","2016-10-01 18:20:00","82"
"-20","-4","9","20","-46","0","0","0","0","0","1","203","183","179","188","208","162","187","2016-10-01 18:40:00","89"
"15","-6","90","1","4","1","0","0","0","0","0","64","79","73","163","164","168","118","2016-10-02 08:00:00","203"
"15","-6","90","1","4","0","1","0","0","0","0","64","79","73","163","164","168","118","2016-10-02 08:20:00","237"
"15","-6","90","1","4","0","0","1","0","0","0","64","79","73","163","164","168","118","2016-10-02 08:40:00","277"
"15","-6","90","1","4","0","0","0","1","0","0","64","79","73","163","164","168","118","2016-10-02 09:00:00","266"
"15","-6","90","1","4","0","0","0","0","1","0","64","79","73","163","164","168","118","2016-10-02 09:20:00","271"
"15","-6","90","1","4","0","0","0","0","0","1","64","79","73","163","164","168","118","2016-10-02 09:40:00","211"
"-12","-3","-5","6","-41","1","0","0","0","0","0","182","170","167","162","168","127","162","2016-10-02 17:00:00","166"
"-12","-3","-5","6","-41","0","1","0","0","0","0","182","170","167","162","168","127","162","2016-10-02 17:20:00","132"
"-12","-3","-5","6","-41","0","0","1","0","0","0","182","170","167","162","168","127","162","2016-10-02 17:40:00","108"
"-12","-3","-5","6","-41","0","0","0","1","0","0","182","170","167","162","168","127","162","2016-10-02 18:00:00","97"
"-12","-3","-5","6","-41","0","0","0","0","1","0","182","170","167","162","168","127","162","2016-10-02 18:20:00","116"
"-12","-3","-5","6","-41","0","0","0","0","0","1","182","170","167","162","168","127","162","2016-10-02 18:40:00","77"
"36","5","16","19","30","1","0","0","0","0","0","34","70","75","91","110","140","86","2016-10-03 08:00:00","189"
"36","5","16","19","30","0","1","0","0","0","0","34","70","75","91","110","140","86","2016-10-03 08:20:00","196"
"36","5","16","19","30","0","0","1","0","0","0","34","70","75","91","110","140","86","2016-10-03 08:40:00","204"
"36","5","16","19","30","0","0","0","1","0","0","34","70","75","91","110","140","86","2016-10-03 09:00:00","90"
"36","5","16","19","30","0","0","0","0","1","0","34","70","75","91","110","140","86","2016-10-03 09:20:00","183"
